NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Lance Kendricks,GB,cbssports.com,TE,0,0,0,0,0,96.0,0.6,0,0,0.1
Seth DeValve,CLE,cbssports.com,TE,0,0,0,0,0,126.0,0.5,0,0,0.3
Dion Sims,CHI,cbssports.com,TE,0,0,0,0,0,85.0,0.6,0,0,0.1
Maxx Williams,BAL,cbssports.com,TE,0,0,0,0,0,136.0,0.8,0,0,1.8
Chris Herndon,NYJ,cbssports.com,TE,0,0,0,0,0,93.0,0.7,0,0,0.5
Durham Smythe,MIA,cbssports.com,TE,0,0,0,0,0,104.0,0.7,0,0,0.5
Michael Hoomanawanui,NO,cbssports.com,TE,0,0,0,0,0,53.0,0.7,0,0,0.1
Ben Koyack,JAC,cbssports.com,TE,0,0,0,0,0,52.0,0.7,0,0,0.1
Mychal Rivera,JAC,cbssports.com,TE,0,0,0,0,0,80.0,0.3,0,0,0.1
Luke Stocker,TEN,cbssports.com,TE,0,0,0,0,0,32.0,0.7,0,0,0.1
Logan Thomas,BUF,cbssports.com,TE,0,0,0,0,0,44.0,0.7,0,0,0.1
Erik Swoope,IND,cbssports.com,TE,0,0,0,0,0,83.0,0.2,0,0,0.1
Clive Walford,NYJ,cbssports.com,TE,0,0,0,0,0,72.0,0.3,0,0,0.1
Neal Sterling,NYJ,cbssports.com,TE,0,0,0,0,0,103.0,0.1,0,0,0.1
Ryan Izzo,NE,cbssports.com,TE,0,0,0,0,0,48.0,0.4,0,0,0.0
Xavier Grimble,PIT,cbssports.com,TE,0,0,0,0,0,34.0,0.6,0,0,0.1
Eric Tomlinson,NYJ,cbssports.com,TE,0,0,0,0,0,55.0,0.4,0,0,0.1
David Morgan,MIN,cbssports.com,TE,0,0,0,0,0,52.0,0.4,0,0,0.1
Gavin Escobar,MIA,cbssports.com,TE,0,0,0,0,0,26.0,0.5,0,0,0.1
Jeremy Sprinkle,WAS,cbssports.com,TE,0,0,0,0,0,39.0,0.5,0,0,0.1
John Phillips,NO,cbssports.com,TE,0,0,0,0,0,40.0,0.5,0,0,0.1
C.J. Uzomah,CIN,cbssports.com,TE,0,0,0,0,0,50.0,0.3,0,0,0.1
Orson Charles,KC,cbssports.com,TE,0,0,0,0,0,49.0,0.2,0,0,0.0
Phillip Supernaw,TEN,cbssports.com,TE,0,0,0,0,0,26.0,0.4,0,0,0.1
