NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Travis Kelce,KC,ESPN.com,TE,0,0,0,7.2,0.1,1006.4,5.7,0,0,0
Golden Tate,DET,ESPN.com,WR,0,0,0,28.2,0.1,989.9,4.2,0,0,0
JuJu Smith-Schuster,PIT,ESPN.com,WR,0,0,0,0,0,995.6,6.4,0,0,0
Alshon Jeffery,PHI,ESPN.com,WR,0,0,0,0,0,971.2,8.2,0,0,0
Zach Ertz,PHI,ESPN.com,TE,0,0,0,0,0,883.8,7,0,0,0
Amari Cooper,OAK,ESPN.com,WR,0,0,0,12.2,0,1007,5.6,0,0,0
Jarvis Landry,CLE,ESPN.com,WR,0,0,0,10.3,0,896.7,5,0,0,0
Joe Mixon,CIN,ESPN.com,RB,0,0,0,891.9,5.9,353.3,1.1,0,0,0
Joe Flacco,BAL,ESPN.com,QB,3528.4,18.3,11.4,46,1.2,0,0,0,0,0
Jordan Howard,CHI,ESPN.com,RB,0,0,0,1022.9,7,231,0.9,0,0,0
Kenyan Drake,MIA,ESPN.com,RB,0,0,0,848.4,5.6,323.3,1.2,0,0,0
Pierre Garcon,SF,ESPN.com,WR,0,0,0,0,0,980,4.5,0,0,0
Emmanuel Sanders,DEN,ESPN.com,WR,0,0,0,0,0,950.3,5.3,0,0,0
Marshawn Lynch,OAK,ESPN.com,RB,0,0,0,957.1,7.7,229.4,0.9,0,0,0
Chris Hogan,NE,ESPN.com,WR,0,0,0,32.2,0.2,910.1,6.9,0,0,0
Michael Crabtree,BAL,ESPN.com,WR,0,0,0,0,0,828.7,5.9,0,0,0
Marvin Jones Jr.,DET,ESPN.com,WR,0,0,0,0,0,935.3,7.1,0,0,0
Greg Olsen,CAR,ESPN.com,TE,0,0,0,0,0,914,5.7,0,0,0
Derrius Guice,WSH,ESPN.com,RB,0,0,0,997.9,7.5,208.5,0.7,0,0,0
Delanie Walker,TEN,ESPN.com,TE,0,0,0,0,0,819.7,6.6,0,0,0
Robert Woods,LAR,ESPN.com,WR,0,0,0,12.7,0.1,890.3,4.9,0,0,0
Randall Cobb,GB,ESPN.com,WR,0,0,0,67.8,0.3,783.2,5.2,0,0,0
Rashaad Penny,SEA,ESPN.com,RB,0,0,0,947.5,5.9,247,1.1,0,0,0
Alex Collins,BAL,ESPN.com,RB,0,0,0,988,5.6,234.6,0.7,0,0,0
Sammy Watkins,KC,ESPN.com,WR,0,0,0,0,0,952,5.4,0,0,0
Sony Michel,NE,ESPN.com,RB,0,0,0,897,7.6,219.1,0.9,0,0,0
Royce Freeman,DEN,ESPN.com,RB,0,0,0,941.8,5.9,247.3,0.7,0,0,0
Kelvin Benjamin,BUF,ESPN.com,WR,0,0,0,0,0,936.9,4.5,0,0,0
Brandin Cooks,LAR,ESPN.com,WR,0,0,0,46.8,0.3,901.2,5,0,0,0
Devin Funchess,CAR,ESPN.com,WR,0,0,0,0,0,884.4,6.2,0,0,0
Derrick Henry,TEN,ESPN.com,RB,0,0,0,939.1,7.2,213.3,0.8,0,0,0
Cooper Kupp,LAR,ESPN.com,WR,0,0,0,0,0,847.3,5.8,0,0,0
Ronald Jones II,TB,ESPN.com,RB,0,0,0,955.7,3.9,278.9,1,0,0,0
